# 05ClusterAnalysis_DBS.R
%	 212
%	 14
% Key	Time	Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	TotCases/1Mpop	Deaths/1Mpop	TotalTests	Tests/1Mpop	
130	2020-03-09	Mongolia	31	1	NaN	NaN	5	26	NaN	9	NaN	1077	329
131	2020-03-16	Montenegro	290	2	4	NaN	55	231	7	462	6	3874	6168
132	2020-03-17	Montserrat	11	NaN	NaN	NaN	1	10	1	2204	NaN	36	7212
133	2020-03-01	Morocco	2024	NaN	127	NaN	229	1668	1	55	3	10392	282
134	2020-03-21	Mozambique	29	NaN	NaN	NaN	2	27	NaN	0.9	NaN	793	25
135	2020-03-26	MS Zaandam	9	NaN	2	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN
136	2020-03-22	Myanmar	85	11	4	NaN	2	79	NaN	2	7.0000000000000007E-2	2836	52
137	2020-03-13	Namibia	16	NaN	NaN	NaN	3	13	NaN	6	NaN	362	142
138	2020-01-23	Nepal	16	NaN	NaN	NaN	1	15	NaN	0.5	NaN	15800	542
139	2020-02-26	Netherlands	28153	NaN	3134	NaN	250	24769	1279	1643	183	140845	8220
140	2020-03-17	New Caledonia	18	NaN	NaN	NaN	1	17	1	63	NaN	3002	10515
141	2020-02-27	New Zealand	1401	15	9	NaN	770	622	3	291	2	70160	14549
142	2020-03-18	Nicaragua	9	NaN	1	NaN	4	4	NaN	1	0.2	NaN	NaN
143	2020-03-18	Niger	584	NaN	14	NaN	90	480	NaN	24	0.6	4427	183
144	2020-02-27	Nigeria	407	NaN	12	NaN	128	267	2	2	0.06	5000	24
145	2020-02-25	North Macedonia	974	NaN	45	NaN	98	831	15	468	22	9262	4446
146	2020-02-25	Norway	6798	1	150	NaN	32	6616	64	1254	28	130216	24020
147	2020-02-23	Oman	1019	109	4	NaN	176	839	3	200	0.8	NaN	NaN
148	2020-02-25	Pakistan	6505	122	124	13	1645	4736	46	29	0.6	78979	358
149	2020-03-05	Palestine	374	NaN	2	NaN	63	309	NaN	73	0.4	17329	3397
150	2020-03-09	Panama	3751	NaN	103	NaN	75	3573	106	869	24	16854	3906
151	2020-03-19	Papua New Guinea	2	NaN	NaN	NaN	NaN	2	NaN	0.2	NaN	167	19
152	2020-03-06	Paraguay	174	13	8	NaN	30	136	1	24	1	3888	545
153	2020-03-05	Peru	11475	NaN	254	NaN	3108	8113	146	348	8	109385	3318
154	2020-01-29	Philippines	5453	NaN	349	NaN	353	4751	1	50	3	45486	415
155	2020-03-03	Poland	7582	NaN	286	NaN	774	6522	160	200	8	156493	4135
156	2020-03-01	Portugal	18091	NaN	599	NaN	383	17109	208	1774	59	208314	20430
157	2020-02-28	Qatar	3711	NaN	7	NaN	406	3298	37	1288	2	54484	18911
158	2020-03-10	Réunion	391	NaN	NaN	NaN	237	154	3	437	NaN	NaN	NaN
159	2020-02-25	Romania	7216	NaN	372	NaN	1217	5627	245	375	19	74827	3890
160	2020-01-30	Russia	24490	NaN	198	NaN	1986	22306	8	168	1	1517992	10402
161	2020-03-13	Rwanda	136	NaN	NaN	NaN	54	82	NaN	11	NaN	6237	482
162	2020-01-19	S. Korea	10613	22	229	4	7757	2627	55	207	4	538775	10509
163	2020-03-24	Saint Kitts and Nevis	14	NaN	NaN	NaN	NaN	14	NaN	263	NaN	234	4399
